Precinct_Name,Split_Name,precinct_splitId,Reg_voters,Ballots,Reporting,Contest_id,Contest_title,Contest_party,Choice_id,Candidate_name,Choice_party,Candidate_Type,Absentee_votes,Early_votes,Election_Votes
01-Jan,,1,2839,1712,1,1,President and Vice President,,1,"(R) ROMNEY, Mitt / RYAN, Paul",REP,C,82,34,172
01-Jan,,1,2839,1712,1,1,President and Vice President,,2,"(G) STEIN, Jill / HONKALA, Cheri",GRE,C,8,2,10
01-Jan,,1,2839,1712,1,1,President and Vice President,,3,"(L) JOHNSON, Gary / GRAY, James P.",LIB,C,6,2,17
01-Jan,,1,2839,1712,1,1,President and Vice President,,4,"(D) OBAMA, Barack / BIDEN, Joe",DEM,C,549,126,696
01-Jan,,1,2839,1712,1,2,US Senator,,5,"(D) HIRONO, Mazie",DEM,C,492,117,645
01-Jan,,1,2839,1712,1,2,US Senator,,6,"(R) LINGLE, Linda",REP,C,142,48,243
01-Jan,,1,2839,1712,1,4,"US Representative, Dist 2",,9,"(R) CROWLEY, Kawika",REP,C,69,30,110
01-Jan,,1,2839,1712,1,4,"US Representative, Dist 2",,10,"(D) GABBARD, Tulsi",DEM,C,552,131,765
01-Jan,,1,2839,1712,1,7,"State Senator, Dist 4",,15,"(G) GREENWELL, Kelly",GRE,C,186,54,252
01-Jan,,1,2839,1712,1,7,"State Senator, Dist 4",,16,"(D) SOLOMON, Malama",DEM,C,428,106,590
01-Jan,,1,2839,1712,1,53,Hawaii Resident Trustee,,109,"LINDSEY, Robert K.",,C,355,86,456
01-Jan,,1,2839,1712,1,53,Hawaii Resident Trustee,,110,"MEYERS, William (Willy)",,C,43,26,95
01-Jan,,1,2839,1712,1,53,Hawaii Resident Trustee,,111,"MIRANDA, Edwin L.P.",,C,71,23,115
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,112,"AHUNA, Dan",,C,70,19,144
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,113,"ALALEM WORTHINGTON, Keola",,C,7,2,9
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,114,"ALBAO, Liberta Hussey",,C,11,6,25
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,115,"BURKE, Jackie Kahookele",,C,23,11,44
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,116,"KAGAWA FU, Kanani",,C,40,10,32
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,117,"PACHECO, Haunani",,C,52,19,87
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,118,"POMROY, Sharon A.",,C,20,8,24
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,119,"SAHUT, Ronson K.",,C,6,0,4
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,120,"SANTOS, D. Kaliko",,C,10,4,35
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,121,"SWAIN, Billy Kealamaikahiki",,C,13,5,21
01-Jan,,1,2839,1712,1,54,Kauai Resident Trustee,,122,"YADAO, Leland K. (Radar)",,C,39,14,89
01-Jan,,1,2839,1712,1,55,Molokai Resident Trustee,,123,"MACHADO, Colette (Piipii)",,C,285,85,427
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,124,"AKINA, Keli'i",,C,47,12,100
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,125,"APOLIONA, Haunani",,C,171,58,211
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,126,"LEE, Cal",,C,70,19,99
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,127,"LINCOLN, Lancelot Haili",,C,21,8,51
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,128,"MAKEKAU, Kealii J.",,C,17,9,30
01-Jan,,1,2839,1712,1,56,"""At Large"" Trustee",,129,"RITTE, Walter",,C,73,15,84
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,130,"AMORIN, Johanna Kuulei Shin",,C,11,3,17
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,131,"AU, Glenn G.",,C,28,2,35
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,132,"DUEY, Rose",,C,17,2,21
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,133,"GOMES, Doreen Pua",,C,35,25,78
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,134,"KANE, Dain Pomaika'i",,C,34,9,34
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,135,"KAPU, Ke'eaumoku",,C,32,10,70
01-Jan,,1,2839,1712,1,57,OHA Vacancy: Maui,,136,"LINDSEY, Carmen Hulu",,C,138,47,265
01-Jan,,1,2839,1712,1,58,"Mayor, County of Hawaii",,137,"KENOI, Billy",,C,295,76,353
01-Jan,,1,2839,1712,1,58,"Mayor, County of Hawaii",,138,"KIM, Harry",,C,341,86,534
01-Jan,,1,2839,1712,1,59,"Prosecuting Attorney, County of Hawaii",,139,"ASHIDA, Lincoln",,C,354,84,370
01-Jan,,1,2839,1712,1,59,"Prosecuting Attorney, County of Hawaii",,140,"ROTH, Mitch",,C,225,65,389
01-Jan,,1,2839,1712,1,60,"Councilmember, Dist 1",,141,"POINDEXTER, Valerie",,C,367,92,400
01-Jan,,1,2839,1712,1,60,"Councilmember, Dist 1",,142,"YAGONG, Chelsea",,C,250,67,463
01-Jan,,1,2839,1712,1,80,CON AMEND: Relating to Dams and Reservoirs   ,,198,YES,,C,295,98,519
01-Jan,,1,2839,1712,1,80,CON AMEND: Relating to Dams and Reservoirs   ,,199,NO,,C,276,53,280
01-Jan,,1,2839,1712,1,81,CON AMEND: Relating to Retired Judges   ,,200,YES,,C,304,98,461
01-Jan,,1,2839,1712,1,81,CON AMEND: Relating to Retired Judges   ,,201,NO,,C,271,56,326
01-Jan,,1,2839,1712,1,82,1. HAWAI'I: Records and Meetings Open to the Public   ,,202,YES,,C,421,109,579
01-Jan,,1,2839,1712,1,82,1. HAWAI'I: Records and Meetings Open to the Public   ,,203,NO,,C,148,44,194
01-Jan,,1,2839,1712,1,83,"2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ",,204,YES,,C,348,101,522
01-Jan,,1,2839,1712,1,83,"2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ",,205,NO,,C,214,51,272
01-Jan,,1,2839,1712,1,84,"3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ",,206,YES,,C,350,107,558
01-Jan,,1,2839,1712,1,84,"3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ",,207,NO,,C,212,43,241
01-Jan,,1,2839,1712,1,85,4. HAWAI'I: Establishing Special Funds   ,,208,YES,,C,159,59,288
01-Jan,,1,2839,1712,1,85,4. HAWAI'I: Establishing Special Funds   ,,209,NO,,C,410,97,506
01-Jan,,1,2839,1712,1,86,5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ,,210,YES,,C,400,108,522
01-Jan,,1,2839,1712,1,86,5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ,,211,NO,,C,161,42,236
01-Jan,,1,2839,1712,1,87,6. HAWAI'I: Establishing a Game Management Advisory Commission   ,,212,YES,,C,366,115,561
01-Jan,,1,2839,1712,1,87,6. HAWAI'I: Establishing a Game Management Advisory Commission   ,,213,NO,,C,212,40,248
02-Jan,,2,906,583,1,1,President and Vice President,,1,"(R) ROMNEY, Mitt / RYAN, Paul",REP,C,41,11,58
02-Jan,,2,906,583,1,1,President and Vice President,,2,"(G) STEIN, Jill / HONKALA, Cheri",GRE,C,1,0,5
02-Jan,,2,906,583,1,1,President and Vice President,,3,"(L) JOHNSON, Gary / GRAY, James P.",LIB,C,4,0,5
02-Jan,,2,906,583,1,1,President and Vice President,,4,"(D) OBAMA, Barack / BIDEN, Joe",DEM,C,171,30,255
02-Jan,,2,906,583,1,2,US Senator,,5,"(D) HIRONO, Mazie",DEM,C,155,29,241
02-Jan,,2,906,583,1,2,US Senator,,6,"(R) LINGLE, Linda",REP,C,61,12,78
02-Jan,,2,906,583,1,4,"US Representative, Dist 2",,9,"(R) CROWLEY, Kawika",REP,C,32,6,45
02-Jan,,2,906,583,1,4,"US Representative, Dist 2",,10,"(D) GABBARD, Tulsi",DEM,C,179,35,263
02-Jan,,2,906,583,1,7,"State Senator, Dist 4",,15,"(G) GREENWELL, Kelly",GRE,C,48,15,93
02-Jan,,2,906,583,1,7,"State Senator, Dist 4",,16,"(D) SOLOMON, Malama",DEM,C,154,24,209
02-Jan,,2,906,583,1,53,Hawaii Resident Trustee,,109,"LINDSEY, Robert K.",,C,100,21,133
02-Jan,,2,906,583,1,53,Hawaii Resident Trustee,,110,"MEYERS, William (Willy)",,C,11,1,50
02-Jan,,2,906,583,1,53,Hawaii Resident Trustee,,111,"MIRANDA, Edwin L.P.",,C,27,8,44
